dog_id,date,breed,sex,age_months,age_years,height_cm,length_cm,weight_kg,avg_daily_play_min,avg_daily_walk_min,activity_minutes,activity_score_percent,sleep_hours,rer,mer_multiplier,calories_per_day,activity_cluster,activity_label
DOG0030,2025-04-28,Mixed,M,11,0.92,52.3,70.4,21.07,20.2,0.0,20.2,1.4,11.2,688.4,1.9501936671105233,1237.2,1,Low activity
DOG0031,2025-03-04,Siberian Husky,M,5,0.42,51.3,70.3,17.3,9.5,37.9,47.4,3.29,10.2,593.8,2.7776022837352254,1665.5,2,Hyperactive
DOG0032,2025-06-14,Siberian Husky,M,126,10.5,58.4,77.0,18.12,13.3,27.2,40.5,2.81,12.0,614.8,1.3,814.6,1,Low activity
DOG0033,2025-10-03,Boxer,M,9,0.75,53.6,53.8,22.16,75.0,33.6,108.6,7.54,12.6,714.9,1.7846663438626298,1270.7,0,Normal
DOG0034,2025-01-22,Mixed,M,56,4.67,39.4,50.9,17.27,52.5,56.7,109.2,7.58,11.2,593.0,1.27,792.2,2,Hyperactive
DOG0035,2025-10-14,Poodle (Standard),M,86,7.17,53.1,61.7,28.17,51.8,39.0,90.8,6.31,10.7,855.9,1.19,977.3,0,Normal
DOG0036,2025-01-04,Golden Retriever,M,4,0.33,50.6,54.3,19.84,67.7,21.8,89.5,6.22,10.6,658.0,2.177010484276747,1390.8,0,Normal
DOG0037,2025-07-22,German Shepherd,M,8,0.67,62.1,57.1,28.35,87.5,47.7,135.2,9.39,10.0,860.0,1.7256095940020262,1523.9,0,Normal
DOG0038,2025-10-29,Mixed,M,51,4.25,40.6,39.5,18.23,28.2,59.2,87.4,6.07,9.9,617.6,1.17,737.1,2,Hyperactive
DOG0039,2025-04-04,Labrador Retriever,M,8,0.67,56.5,54.2,25.58,97.9,40.0,137.9,9.58,10.8,796.2,1.9222639250911289,1627.5,0,Normal
DOG0040,2025-10-17,German Shepherd,M,16,1.33,62.5,74.1,30.93,41.5,21.4,62.9,4.37,10.4,918.1,1.24,1077.4,0,Normal
DOG0041,2025-07-09,Dachshund,F,81,6.75,18.8,23.7,11.14,46.8,44.3,91.1,6.33,10.7,426.8,1.28,568.2,2,Hyperactive
DOG0042,2025-10-19,German Shepherd,F,12,1.0,59.3,57.9,34.83,5.8,22.8,28.6,1.99,12.7,1003.6,1.27,1336.5,1,Low activity
DOG0043,2025-04-27,French Bulldog,M,95,7.92,32.3,32.0,12.2,29.7,67.2,96.9,6.73,11.6,456.9,1.23,544.2,2,Hyperactive
DOG0044,2025-06-26,German Shepherd,M,36,3.0,63.2,66.9,37.15,70.7,35.8,106.5,7.4,12.1,1053.3,1.14,1328.1,0,Normal
DOG0045,2025-06-22,Beagle,M,27,2.25,33.8,37.7,8.56,39.4,30.1,69.5,4.83,11.4,350.3,1.29,465.3,1,Low activity
DOG0046,2025-07-19,German Shepherd,M,10,0.83,65.4,60.0,35.53,68.6,75.9,144.5,10.03,10.3,1018.7,1.6899504564092644,1783.2,2,Hyperactive
DOG0047,2025-06-08,Labrador Retriever,F,30,2.5,58.4,70.1,27.35,8.0,39.3,47.3,3.28,11.9,837.2,1.27,1000.5,1,Low activity
DOG0048,2025-06-30,Mixed,F,42,3.5,51.4,61.1,18.76,28.7,45.2,73.9,5.13,11.3,631.0,1.28,935.8,2,Hyperactive
DOG0049,2025-11-01,French Bulldog,F,8,0.67,32.4,38.9,9.62,9.7,0.0,9.7,0.67,12.8,382.4,1.619708002146063,613.5,1,Low activity
DOG0050,2025-04-25,Bulldog,M,88,7.33,34.6,41.2,19.44,29.8,36.7,66.5,4.62,11.6,648.1,1.2,785.4,1,Low activity
DOG0051,2025-07-17,Pomeranian,F,15,1.25,22.6,29.8,3.24,12.5,54.1,66.6,4.62,9.6,169.0,1.38,254.8,2,Hyperactive
DOG0052,2025-08-21,German Shepherd,F,105,8.75,58.7,60.8,25.32,58.6,76.3,134.9,9.37,9.5,790.1,1.25,1018.6,2,Hyperactive
DOG0053,2025-01-27,Rottweiler,F,58,4.83,71.4,98.6,53.58,0.0,33.9,33.9,2.35,12.5,1386.3,1.24,1870.6,1,Low activity
DOG0054,2025-09-28,Siberian Husky,M,62,5.17,55.2,50.6,21.62,50.3,59.5,109.8,7.62,11.7,701.8,1.27,836.5,2,Hyperactive
DOG0055,2025-09-11,Mixed,F,19,1.58,25.9,31.5,13.58,16.5,15.7,32.2,2.24,9.8,495.2,1.25,698.4,1,Low activity
DOG0056,2025-01-20,Golden Retriever,M,5,0.42,61.3,82.0,27.65,97.1,32.8,129.9,9.02,11.9,844.1,2.3831385282494972,1969.3,0,Normal
DOG0057,2025-09-18,Boxer,M,33,2.75,55.5,60.8,26.31,2.4,46.8,49.2,3.42,14.7,813.2,1.25,1028.5,1,Low activity
DOG0058,2025-11-01,Bulldog,M,27,2.25,32.7,45.0,20.09,25.1,0.0,25.1,1.74,10.5,664.3,1.12,784.8,1,Low activity
DOG0059,2025-04-25,Golden Retriever,F,57,4.75,60.7,62.9,28.18,45.8,51.4,97.2,6.75,11.3,856.2,1.29,1146.8,2,Hyperactive
DOG0060,2025-01-02,Boxer,F,141,11.75,64.6,59.8,29.14,23.3,48.1,71.4,4.96,10.5,877.9,1.22,1013.5,2,Hyperactive
DOG0061,2025-05-27,Mixed,F,23,1.92,51.8,68.5,19.3,23.2,24.2,47.4,3.29,11.2,644.6,1.24,774.6,1,Low activity
DOG0062,2025-04-04,French Bulldog,F,58,4.83,31.8,36.9,11.78,43.2,0.0,43.2,3.0,11.1,445.1,1.16,608.8,0,Normal
DOG0063,2025-01-25,Mixed,F,19,1.58,36.9,46.8,16.18,12.3,6.6,18.9,1.31,10.9,564.7,1.21,693.9,1,Low activity
DOG0064,2024-12-31,French Bulldog,M,112,9.33,32.5,45.2,10.29,32.8,38.9,71.7,4.98,12.8,402.2,1.22,510.5,1,Low activity
DOG0065,2025-07-04,Labrador Retriever,M,2,0.17,60.8,79.8,21.87,96.8,16.5,113.3,7.87,14.0,707.9,2.2602333679515274,1496.4,0,Normal
DOG0066,2025-07-25,German Shepherd,F,9,0.75,62.7,73.3,31.01,107.7,36.5,144.2,10.01,11.2,919.9,1.9931451883834133,1770.8,0,Normal
DOG0067,2024-12-14,French Bulldog,M,46,3.83,30.6,28.8,11.83,0.0,40.7,40.7,2.83,12.1,446.5,1.29,535.6,1,Low activity
DOG0068,2025-09-05,Shih Tzu,F,26,2.17,26.4,25.9,5.42,5.7,21.8,27.5,1.91,13.0,248.7,1.21,305.4,1,Low activity
DOG0069,2025-09-13,Chihuahua,F,25,2.08,15.0,15.7,2.06,18.6,42.6,61.2,4.25,14.1,120.4,1.22,149.0,1,Low activity
DOG0070,2025-11-19,Pomeranian,F,17,1.42,20.6,20.3,2.76,33.2,48.9,82.1,5.7,10.6,149.9,1.34,214.1,2,Hyperactive
DOG0071,2025-10-30,Labrador Retriever,F,16,1.33,63.9,65.6,35.39,49.6,54.7,104.3,7.24,10.5,1015.7,1.22,1298.5,2,Hyperactive
DOG0072,2025-10-30,Shih Tzu,F,2,0.17,24.4,25.9,3.08,82.7,15.5,98.2,6.82,11.8,162.7,2.471532460102513,424.6,0,Normal
DOG0073,2025-04-12,Mixed,M,73,6.08,49.1,62.9,19.59,19.1,72.4,91.5,6.35,10.0,651.8,1.25,834.3,2,Hyperactive
DOG0074,2025-08-16,Rottweiler,M,6,0.5,63.0,67.0,34.07,114.8,37.2,152.0,10.56,10.6,987.1,2.033132576756161,2102.9,0,Normal
DOG0075,2025-09-10,Mixed,F,49,4.08,30.0,28.5,15.5,16.0,56.0,72.0,5.0,10.6,546.8,1.29,709.4,2,Hyperactive
DOG0076,2025-01-12,Labrador Retriever,M,5,0.42,60.7,60.7,25.77,111.2,19.1,130.3,9.05,11.8,800.6,2.7140869321324277,2198.2,0,Normal
DOG0077,2025-03-28,Chihuahua,F,23,1.92,21.6,27.9,2.91,22.1,3.1,25.2,1.75,12.6,156.0,1.29,197.5,1,Low activity
DOG0078,2025-08-25,Golden Retriever,F,14,1.17,56.2,72.8,28.69,94.9,49.3,144.2,10.01,10.9,867.8,1.31,1065.8,0,Normal
DOG0079,2024-12-07,Pomeranian,M,66,5.5,20.0,26.5,2.8,60.9,48.0,108.9,7.56,12.2,151.5,1.41,208.7,0,Normal
DOG0080,2025-03-31,Bulldog,F,83,6.92,34.9,36.2,20.6,38.0,35.6,73.6,5.11,12.3,676.9,1.26,815.7,1,Low activity
DOG0081,2025-10-29,Siberian Husky,F,16,1.33,54.0,60.4,20.25,25.3,97.9,123.2,8.56,10.2,668.2,1.28,784.5,2,Hyperactive
DOG0082,2025-06-08,Golden Retriever,F,14,1.17,60.6,58.5,31.16,47.2,29.3,76.5,5.31,10.8,923.2,1.16,1039.3,0,Normal
DOG0083,2025-02-17,Mixed,M,16,1.33,34.6,40.4,18.64,50.3,59.5,109.8,7.62,13.0,628.0,1.38,850.4,2,Hyperactive
DOG0084,2025-02-05,Labrador Retriever,M,21,1.75,60.7,64.2,32.31,39.1,47.0,86.1,5.98,12.6,948.6,1.14,1304.4,1,Low activity
DOG0085,2025-07-04,German Shepherd,M,13,1.08,63.2,87.5,32.01,36.2,59.0,95.2,6.61,11.9,942.0,1.21,1137.5,2,Hyperactive
DOG0086,2025-06-18,Shih Tzu,F,52,4.33,22.2,28.8,5.19,51.7,30.9,82.6,5.74,10.8,240.7,1.17,299.5,0,Normal
DOG0087,2025-01-20,French Bulldog,F,54,4.5,31.4,34.6,11.29,35.6,62.5,98.1,6.81,10.8,431.1,1.32,563.9,2,Hyperactive
DOG0088,2024-12-31,Dachshund,M,35,2.92,19.2,22.7,12.18,8.3,80.4,88.7,6.16,11.2,456.4,1.19,554.5,2,Hyperactive
DOG0089,2024-12-25,Boxer,M,28,2.33,62.7,64.1,30.09,0.0,77.4,77.4,5.38,11.6,899.3,1.33,1176.6,2,Hyperactive
DOG0090,2025-07-05,Dachshund,F,10,0.83,23.1,21.5,10.75,60.9,7.9,68.8,4.78,10.2,415.6,1.784373978955772,747.5,0,Normal
DOG0091,2025-10-21,Labrador Retriever,F,18,1.5,64.4,84.5,32.63,42.0,39.2,81.2,5.64,10.2,955.7,1.22,1206.3,0,Normal
DOG0092,2025-06-27,Pomeranian,M,60,5.0,21.8,19.6,2.66,57.9,46.2,104.1,7.23,9.9,145.8,1.28,195.3,0,Normal
DOG0093,2025-04-14,Beagle,M,54,4.5,34.9,45.8,10.85,20.0,57.7,77.7,5.4,9.9,418.5,1.27,506.9,2,Hyperactive
DOG0094,2025-03-30,Bulldog,F,7,0.58,33.1,40.3,14.5,52.1,30.1,82.2,5.71,10.6,520.1,1.8674745487463376,1050.3,0,Normal
DOG0095,2025-01-14,Labrador Retriever,M,61,5.08,60.4,77.7,32.62,39.6,31.1,70.7,4.91,9.7,955.5,1.18,1049.3,0,Normal
DOG0096,2025-01-30,Labrador Retriever,F,9,0.75,62.4,83.6,30.03,111.8,25.8,137.6,9.56,13.2,898.0,2.038390306143548,1779.8,0,Normal
DOG0097,2025-04-09,Labrador Retriever,F,36,3.0,60.2,59.3,28.17,0.0,18.7,18.7,1.3,12.8,855.9,1.18,1028.7,1,Low activity
DOG0098,2025-01-14,Shih Tzu,F,25,2.08,20.8,22.7,4.32,5.1,40.3,45.4,3.15,11.9,209.8,1.22,262.0,1,Low activity
DOG0099,2025-09-21,Shih Tzu,M,96,8.0,21.8,28.5,5.81,29.6,17.8,47.4,3.29,12.8,262.0,1.22,303.7,1,Low activity
DOG0100,2025-09-08,German Shepherd,M,113,9.42,61.0,69.5,31.34,22.2,43.7,65.9,4.58,10.5,927.2,1.25,1229.5,2,Hyperactive
DOG0101,2025-11-21,Mixed,F,121,10.08,34.1,36.0,11.78,26.9,22.6,49.5,3.44,10.0,445.1,1.18,540.1,0,Normal
DOG0102,2025-03-11,Chihuahua,M,2,0.17,23.1,32.2,1.43,32.1,3.1,35.2,2.44,12.1,91.5,2.0622917981300626,184.2,1,Low activity
DOG0103,2025-04-11,Siberian Husky,M,9,0.75,53.0,70.2,17.54,93.0,58.4,151.4,10.51,11.2,600.0,1.8889809079209177,1029.0,0,Normal
DOG0104,2025-06-06,French Bulldog,F,10,0.83,29.8,35.5,9.34,30.0,24.8,54.8,3.81,12.0,374.0,1.7193137666651777,675.2,1,Low activity
DOG0105,2025-08-05,Labrador Retriever,M,11,0.92,56.4,55.0,28.41,69.6,66.9,136.5,9.48,10.5,861.4,2.173733314389369,1943.2,2,Hyperactive
DOG0106,2025-09-18,Mixed,F,13,1.08,43.5,57.4,16.94,56.3,59.3,115.6,8.03,12.6,584.5,1.34,784.7,2,Hyperactive
DOG0107,2025-03-10,Boxer,M,41,3.42,52.2,49.2,25.33,27.5,38.6,66.1,4.59,10.7,790.4,1.18,966.6,2,Hyperactive
DOG0108,2025-03-05,Poodle (Standard),F,2,0.17,52.3,70.6,14.22,38.7,23.3,62.0,4.31,11.5,512.6,2.895814597371882,1507.9,1,Low activity
DOG0109,2025-08-04,Chihuahua,M,140,11.67,20.7,27.0,2.37,16.2,15.3,31.5,2.19,11.0,133.7,1.15,135.2,1,Low activity
DOG0110,2025-07-14,Mixed,M,4,0.33,29.1,39.1,10.29,73.0,44.3,117.3,8.15,10.0,402.2,2.46053949727414,1005.4,0,Normal
DOG0111,2025-05-21,German Shepherd,M,13,1.08,63.9,66.1,37.64,46.4,8.4,54.8,3.81,11.5,1063.7,1.18,1104.4,0,Normal
DOG0112,2025-04-16,Boxer,F,4,0.33,54.8,73.4,16.65,21.9,50.3,72.2,5.01,12.0,577.0,2.2779020972488677,1330.1,1,Low activity
DOG0113,2025-03-28,Shih Tzu,F,13,1.08,26.3,32.7,6.24,20.2,39.6,59.8,4.15,11.9,276.4,1.25,362.6,1,Low activity
DOG0114,2025-09-16,Shih Tzu,M,25,2.08,21.7,23.7,5.94,36.7,13.8,50.5,3.51,11.1,266.3,1.16,273.6,1,Low activity
DOG0115,2025-08-09,Bulldog,F,2,0.17,38.2,45.9,15.49,78.5,30.6,109.1,7.58,10.1,546.6,2.058550929243979,1125.0,0,Normal
DOG0116,2025-07-31,Boxer,F,8,0.67,57.0,54.8,23.66,41.5,25.8,67.3,4.67,12.2,750.9,2.0401694980253877,1574.0,1,Low activity
DOG0117,2024-12-24,Siberian Husky,M,36,3.0,57.5,75.9,22.01,40.6,20.2,60.8,4.22,9.8,711.3,1.18,809.3,0,Normal
DOG0118,2025-08-18,Mixed,F,2,0.17,51.8,52.5,10.72,0.0,19.2,19.2,1.33,12.2,414.7,2.6311706459567064,1094.5,1,Low activity
DOG0119,2025-05-28,Chihuahua,M,33,2.75,16.2,20.7,2.33,23.6,18.6,42.2,2.93,11.4,132.0,1.18,146.0,1,Low activity
DOG0120,2025-05-11,Pomeranian,F,11,0.92,20.5,22.0,3.35,70.1,18.6,88.7,6.16,11.7,173.3,1.6767929251201519,314.1,0,Normal
DOG0121,2025-02-10,French Bulldog,F,55,4.58,31.5,30.6,11.09,23.5,0.0,23.5,1.63,11.1,425.4,1.29,557.7,1,Low activity
DOG0122,2025-07-24,Poodle (Standard),M,70,5.83,56.3,52.6,28.25,56.3,4.4,60.7,4.22,11.4,857.8,1.21,1175.8,0,Normal
DOG0123,2025-03-01,Boxer,M,55,4.58,54.2,70.3,27.09,0.0,58.6,58.6,4.07,12.5,831.2,1.27,990.9,1,Low activity
DOG0124,2025-06-01,Golden Retriever,M,151,12.58,59.5,54.4,27.8,17.4,20.0,37.4,2.6,11.7,847.5,1.27,1110.6,1,Low activity
DOG0125,2025-03-03,Labrador Retriever,M,7,0.58,55.9,71.5,22.29,20.5,25.2,45.7,3.17,11.7,718.1,1.8685617641921304,1396.8,1,Low activity
DOG0126,2025-11-10,German Shepherd,F,16,1.33,64.0,76.7,30.09,32.5,64.2,96.7,6.72,12.4,899.3,1.22,1121.6,2,Hyperactive
DOG0127,2025-07-15,Mixed,M,4,0.33,46.0,48.8,12.22,50.7,24.0,74.7,5.19,9.9,457.5,2.973457389976173,1314.3,0,Normal
DOG0128,2025-10-16,Boxer,M,22,1.83,59.4,67.1,30.02,0.0,68.0,68.0,4.72,10.4,897.8,1.21,1056.8,2,Hyperactive
DOG0129,2025-01-27,Boxer,M,34,2.83,60.1,78.3,31.47,35.2,23.5,58.7,4.08,12.1,930.1,1.18,1080.8,1,Low activity
DOG0130,2025-10-19,Beagle,M,2,0.17,34.8,42.7,6.52,51.9,43.8,95.7,6.65,12.0,285.6,2.56044063098044,728.3,0,Normal
DOG0131,2025-09-14,Golden Retriever,M,4,0.33,53.5,69.6,19.54,55.5,35.2,90.7,6.3,12.3,650.6,2.839460909500767,1849.3,0,Normal
DOG0132,2024-12-27,Beagle,F,11,0.92,40.2,38.4,10.3,89.9,32.7,122.6,8.51,10.6,402.5,1.7807591564560004,665.0,0,Normal
DOG0133,2025-02-23,Boxer,M,83,6.92,63.0,77.7,33.83,48.9,28.3,77.2,5.36,10.8,981.9,1.21,1191.0,0,Normal
DOG0134,2025-03-11,Golden Retriever,M,48,4.0,54.4,58.2,29.22,27.4,48.0,75.4,5.24,12.1,879.7,1.3,1086.6,1,Low activity
DOG0135,2025-07-13,French Bulldog,M,38,3.17,33.1,39.7,12.54,49.2,32.8,82.0,5.69,9.7,466.5,1.21,563.0,0,Normal
DOG0136,2025-05-18,Golden Retriever,M,21,1.75,54.8,61.6,33.69,77.1,65.0,142.1,9.87,10.2,978.9,1.32,1105.4,0,Normal
DOG0137,2025-11-25,Poodle (Standard),M,96,8.0,49.5,46.7,24.14,35.1,0.0,35.1,2.44,13.0,762.3,1.2,875.0,1,Low activity
DOG0138,2025-04-01,French Bulldog,F,77,6.42,32.1,33.7,10.58,44.5,41.1,85.6,5.94,12.6,410.6,1.28,503.6,1,Low activity
DOG0139,2025-10-29,Pomeranian,F,2,0.17,19.1,20.6,1.56,50.6,27.2,77.8,5.4,11.4,97.7,2.636096046409542,259.2,0,Normal
DOG0140,2025-02-20,German Shepherd,F,48,4.0,61.7,81.1,31.68,64.8,49.9,114.7,7.97,10.8,934.7,1.24,1205.3,0,Normal
DOG0141,2025-09-12,Chihuahua,M,17,1.42,21.3,24.9,2.37,46.1,0.0,46.1,3.2,14.2,133.7,1.16,151.3,1,Low activity
DOG0142,2025-07-23,Rottweiler,M,33,2.75,65.6,81.6,48.15,12.8,31.1,43.9,3.05,12.6,1279.5,1.29,1793.4,1,Low activity
DOG0143,2025-07-27,Siberian Husky,M,67,5.58,55.8,65.8,23.99,42.2,0.0,42.2,2.93,10.6,758.8,1.2,844.0,0,Normal
DOG0144,2024-12-18,German Shepherd,F,13,1.08,63.8,76.7,29.49,14.9,2.0,16.9,1.17,10.4,885.8,1.29,1160.5,1,Low activity
DOG0145,2025-07-10,Pomeranian,M,10,0.83,20.2,20.9,2.13,56.9,8.2,65.1,4.52,11.3,123.4,1.9757405928526384,232.9,0,Normal
DOG0146,2025-03-25,Golden Retriever,F,47,3.92,55.7,63.0,27.32,29.0,60.5,89.5,6.22,13.3,836.5,1.33,1072.7,1,Low activity
DOG0147,2025-04-24,German Shepherd,F,4,0.33,59.0,61.2,20.4,24.7,37.3,62.0,4.31,12.7,671.9,2.375329907919602,1547.4,1,Low activity
DOG0148,2025-01-02,Pomeranian,F,90,7.5,21.9,27.7,2.43,67.6,29.2,96.8,6.72,11.7,136.2,1.26,171.6,0,Normal
DOG0149,2025-06-27,Shih Tzu,M,67,5.58,27.6,33.5,4.7,59.9,51.9,111.8,7.76,10.6,223.4,1.22,293.1,0,Normal
DOG0150,2025-03-11,Boxer,F,56,4.67,61.9,61.9,31.87,12.3,33.6,45.9,3.19,12.0,938.9,1.3,1168.3,1,Low activity
DOG0151,2025-02-04,French Bulldog,M,15,1.25,26.9,25.2,9.84,51.9,37.7,89.6,6.22,11.1,388.9,1.21,439.5,0,Normal
DOG0152,2025-09-13,French Bulldog,M,5,0.42,28.7,26.1,8.51,39.9,53.8,93.7,6.51,10.6,348.8,2.187842852537774,782.0,2,Hyperactive
DOG0153,2025-02-09,Rottweiler,F,2,0.17,65.7,67.1,32.62,63.8,29.8,93.6,6.5,11.3,955.5,2.7753461504031356,2649.8,0,Normal
DOG0154,2025-07-02,German Shepherd,F,2,0.17,59.2,62.7,18.49,56.4,42.5,98.9,6.87,10.1,624.2,2.3162701497293066,1432.1,0,Normal
DOG0155,2025-06-04,Rottweiler,F,30,2.5,66.2,90.8,43.34,14.0,60.3,74.3,5.16,11.5,1182.4,1.26,1575.3,2,Hyperactive
DOG0156,2025-07-03,German Shepherd,F,39,3.25,62.6,59.6,33.6,61.1,30.5,91.6,6.36,11.2,976.9,1.28,1137.6,0,Normal
DOG0157,2025-04-03,Siberian Husky,F,2,0.17,54.6,54.2,10.14,91.8,53.7,145.5,10.1,11.5,397.8,2.6477131710629216,1073.8,0,Normal
DOG0158,2025-07-31,Beagle,M,37,3.08,39.8,42.1,10.31,45.6,47.8,93.4,6.49,11.9,402.8,1.22,486.1,2,Hyperactive
DOG0159,2025-05-22,Chihuahua,F,3,0.25,20.7,27.3,1.42,55.7,18.2,73.9,5.13,12.5,91.1,2.8776470196507815,255.1,1,Low activity
DOG0160,2025-10-02,French Bulldog,F,21,1.75,28.9,38.4,9.77,19.9,0.0,19.9,1.38,11.5,386.8,1.15,407.5,1,Low activity
DOG0161,2025-05-15,Poodle (Standard),M,16,1.33,43.3,45.5,23.82,32.5,41.5,74.0,5.14,13.2,754.8,1.16,825.5,1,Low activity
DOG0162,2025-10-31,Boxer,F,33,2.75,58.0,69.1,26.89,81.7,86.5,168.2,11.68,9.8,826.6,1.32,1141.9,2,Hyperactive
DOG0163,2025-11-21,Shih Tzu,M,11,0.92,29.1,33.9,6.71,61.9,33.5,95.4,6.62,13.3,291.8,1.636377355639881,503.6,1,Low activity
DOG0164,2025-11-20,Bulldog,M,2,0.17,35.9,37.7,12.45,84.6,34.8,119.4,8.29,12.9,464.0,2.1803079354227783,1096.5,0,Normal
DOG0165,2025-06-25,Pomeranian,M,2,0.17,26.8,37.3,2.01,60.2,13.2,73.4,5.1,9.4,118.2,2.593560935378786,308.3,0,Normal
DOG0166,2025-10-18,Labrador Retriever,F,47,3.92,56.3,70.3,28.69,34.3,54.2,88.5,6.15,11.9,867.8,1.2,989.3,2,Hyperactive
DOG0167,2024-12-12,Chihuahua,F,51,4.25,22.6,29.2,2.55,24.4,25.1,49.5,3.44,13.3,141.3,1.23,164.2,1,Low activity
DOG0168,2025-05-29,Bulldog,F,4,0.33,32.8,36.0,11.43,12.0,31.6,43.6,3.03,12.3,435.1,2.357121159300503,1001.9,1,Low activity
DOG0169,2025-02-17,Beagle,F,9,0.75,35.4,48.1,8.27,21.0,55.3,76.3,5.3,12.1,341.4,1.8619685138612598,650.6,2,Hyperactive
DOG0170,2025-01-06,Shih Tzu,M,20,1.67,29.4,38.9,7.14,8.9,13.7,22.6,1.57,10.6,305.8,1.19,366.0,1,Low activity
